6.91414e-06
16541	20289	17299	23280	16371	16899	20036	17654	20197	15736	
18391	30921	20307	25336	19003	23593	23669	27791	25688	20806	
27382	35905	30205	30532	25116	26262	27432	36177	30705	29781	
21444	22002	17579	18835	19104	16469	22752	21769	22500	18157	
15507	13051	12188	13664	9862	10023	13897	12555	15002	12234	
26785	26264	20162	26574	19491	16148	25714	25399	28784	20246	
16580	21821	18039	20089	17609	15974	18980	23339	23253	16845	
25026	30176	24249	26809	20968	21150	22131	25138	26873	23712	
36346	41759	36840	38692	28931	34921	40017	37154	41474	34068	
19017	23250	20690	23435	17937	20953	22673	19017	20263	19506	
